Palavra;Peso;Classe favorecida
9b;-0.02251323354117668;Verdadeira
9h;-0.3316697693734974;Verdadeira
9h30;0.0;Neutra
9mm;-0.05872759078175337;Verdadeira
9o;-0.10726355190590857;Verdadeira
____________;0.0;Neutra
_____________;0.0;Neutra
___________________;0.0;Neutra
____________________;0.0;Neutra
________________________________________;-0.003740068480385003;Verdadeira
a2;0.0;Neutra
a320;-0.014472209273983716;Verdadeira
aa;-0.005741769764989225;Verdadeira
aaron;0.0;Neutra
abacaxi;-0.008649591861317796;Verdadeira
abadia;0.0;Neutra
abafa;0.00875618815691008;Fake
abafar;0.10623496603620204;Fake
abaixa;-0.014650034443719352;Verdadeira
abaixar;0.02011066551501387;Fake
abaixo;0.2459930588577889;Fake
abala;-0.031841131637222846;Verdadeira
abalada;0.012455772214090497;Fake
abalado;0.06313233983054259;Fake
abalados;0.008591897508982385;Fake
abalam;-0.05255325543451422;Verdadeira
abalar;0.01792636404796754;Fake
abalo;0.003178798728564314;Fake
abalou;-0.02960660536765764;Verdadeira
abandona;0.1420996185327037;Fake
abandonada;-0.059212516476385806;Verdadeira
abandonadas;1.0842021724855044e-19;Fake
abandonado;-0.053441715477910205;Verdadeira
abandonados;-0.0072271484290857176;Verdadeira
abandonam;-0.01571554891882498;Verdadeira
abandonando;-0.20364675462312687;Verdadeira
abandonar;0.01962064539649343;Fake
abandonaram;-0.10856871236135181;Verdadeira
abandonarem;-0.009936459931728531;Verdadeira
abandone;-0.1051945433874552;Verdadeira
abandonem;-0.027193619252848897;Verdadeira
abandono;-0.2548764709533328;Verdadeira
abandonou;0.11945641199960022;Fake
abarcar;0.0;Neutra
abastece;-0.02647952425404645;Verdadeira
abastecer;0.061272273925167646;Fake
abasteceram;0.015731583737702313;Fake
abasteceu;0.08936097893298758;Fake
abastecida;0.0;Neutra
abastecido;-0.025265766341224346;Verdadeira
abastecimento;-0.09327096943161209;Verdadeira
abate;0.08705996483092708;Fake
abater;-0.10235330729989844;Verdadeira
abatido;-0.026321252816646514;Verdadeira
abatidos;-0.004527871396213064;Verdadeira
abatimento;-0.036270262168300475;Verdadeira
abativa;2.168404344971009e-19;Fake
abaíra;0.0;Neutra
abc;-0.3856924246390844;Verdadeira
abdelmassih;-0.003725009177435698;Verdadeira
abdicar;-1.4094628242311558e-18;Verdadeira
abdullah;-0.031349161303514936;Verdadeira
abdón;-0.00920439837252055;Verdadeira
abdômen;-0.028195674118259823;Verdadeira
abe;-0.13798446001880163;Verdadeira
abeba;-0.01181184976592952;Verdadeira
abedi;-0.02173033875147529;Verdadeira
abel;-0.0396779768197603;Verdadeira
abelardo;-6.76779324856186e-19;Verdadeira
abelha;-0.007207588507212249;Verdadeira
abençoado;0.0;Neutra
abençoar;-0.003577627901337681;Verdadeira
abençoe;-0.013262249921010527;Verdadeira
aberração;0.008187737531268776;Fake
aberta;0.20191768674146116;Fake
abertamente;-0.007928541998314803;Verdadeira
abertas;-0.12410647947717546;Verdadeira
aberto;-0.17609850961888732;Verdadeira
abertos;-0.04364411394559565;Verdadeira
abertura;-0.27411954490217516;Verdadeira
abi;-0.10084458587737172;Verdadeira
abigail;0.0;Neutra
abin;0.14216502389366314;Fake
abismo;0.00666567776796068;Fake
abjeto;0.0;Neutra
able;-0.05033268492352167;Verdadeira
abm;0.0;Neutra
abnt;-0.01479628895709454;Verdadeira
abolição;-0.04761867499641819;Verdadeira
abono;0.07173804985448898;Fake
